epoch,binary_accuracy,loss,val_binary_accuracy,val_loss
0,0.63045776,0.24599707297954826,0.54296875,0.28951565193575485
1,0.84289193,0.12147619232587283,0.56735325,0.2797207492728566
2,0.90925825,0.07760120017949436,0.5661695,0.2964764507704003
3,0.94135636,0.05361101855107439,0.5691288,0.31890466254810956
4,0.95784944,0.04026703023796298,0.5655777,0.32584996902665425
5,0.9654923,0.033477278359225676,0.56025094,0.34192663916321686
6,0.9701917,0.02875171446443712,0.57682294,0.33908836716829344
7,0.9766622,0.023205763419157675,0.56392044,0.35047734338183734
8,0.97820884,0.022426474294284494,0.5744555,0.3475995625174323
9,0.97941107,0.019996024486495227,0.5802557,0.3471846164659012
10,0.9783984,0.019414178983813517,0.57776994,0.3434626640275467
11,0.9824344,0.017402498802206935,0.5738637,0.3473198573256648
12,0.9856322,0.013879301057832097,0.56806344,0.35938554586366167
13,0.98691934,0.013141731424397778,0.5577652,0.36527253028958345
14,0.9867747,0.012941740732315526,0.58309656,0.34598682370296746
15,0.9879321,0.012280530595890182,0.577178,0.35423499761625776
16,0.9891343,0.010672100742307516,0.5655777,0.36274097409359246
17,0.99130446,0.009056748787176976,0.57848006,0.36084029009175855
18,0.9908256,0.009607804463213606,0.570786,0.3547669101593106
19,0.99156386,0.009488542688605954,0.58096594,0.34926101703976475
